prov,provname,dist,dname,DISTRICT,dname_connect,dname_s_data
1,Koshi,1,Taplejung,TAPLEJUNG,Taplejung,Taplejung
1,Koshi,2,Sankhuwasabha,SANKHUWASABHA,Sankhuwasabha,Sankhuwasabha
1,Koshi,3,Solukhumbu,SOLUKHUMBU,Solukhumbu,Solukhumbu
1,Koshi,4,Okhaldhunga,OKHALDHUNGA,Okhaldhunga,Okhaldhunga
1,Koshi,5,Khotang,KHOTANG,Khotang,Khotang
1,Koshi,6,Bhojpur,BHOJPUR,Bhojpur,Bhojpur
1,Koshi,7,Dhankuta,DHANKUTA,Dhankuta,Dhankuta
1,Koshi,8,Terhathum,TERHATHUM,Tehrathum,Terhathum
1,Koshi,9,Panchthar,PANCHTHAR,Panchthar,Panchthar
1,Koshi,10,Ilam,ILAM,Ilam,Ilam
1,Koshi,11,Jhapa,JHAPA,Jhapa,Jhapa
1,Koshi,12,Morang,MORANG,Morang,Morang
1,Koshi,13,Sunsari,SUNSARI,Sunsari,Sunsari
1,Koshi,14,Udayapur,UDAYAPUR,Udayapur,Udayapur
2,Madhesh,15,Saptari,SAPTARI,Saptari,Saptari
2,Madhesh,16,Siraha,SIRAHA,Siraha,Siraha
2,Madhesh,17,Dhanusa,DHANUSHA,Dhanusa,Dhanusa
2,Madhesh,18,Mahottari,MAHOTTARI,Mahottari,Mahottari
2,Madhesh,19,Sarlahi,SARLAHI,Sarlahi,Sarlahi
2,Madhesh,20,Rautahat,RAUTAHAT,Rautahat,Rautahat
2,Madhesh,21,Bara,BARA,Bara,Bara
2,Madhesh,22,Parsa,PARSA,Parsa,Parsa
3,Bagmati,23,Dolakha,DOLAKHA,Dolakha,Dolakha
3,Bagmati,24,Sindhupalchok,SINDHUPALCHOK,Sindhupalchok,Sindhupalchok
3,Bagmati,25,Rasuwa,RASUWA,Rasuwa,Rasuwa
3,Bagmati,26,Dhading,DHADING,Dhading,Dhading
3,Bagmati,27,Nuwakot,NUWAKOT,Nuwakot,Nuwakot
3,Bagmati,28,Kathmandu,KATHMANDU,Kathmandu,Kathmandu
3,Bagmati,29,Bhaktapur,BHAKTAPUR,Bhaktapur,Bhaktapur
3,Bagmati,30,Lalitpur,LALITPUR,Lalitpur,Lalitpur
3,Bagmati,31,Kavrepalanchok,KABHREPALANCHOK,Kavrepalanchok,Kavrepalanchok
3,Bagmati,32,Ramechhap,RAMECHHAP,Ramechhap,Ramechhap
3,Bagmati,33,Sindhuli,SINDHULI,Sindhuli,Sindhuli
3,Bagmati,34,Makwanpur,MAKAWANPUR,Makwanpur,Makwanpur
3,Bagmati,35,Chitawan,CHITAWAN,Chitawan,Chitawan
4,Gandaki,36,Gorkha,GORKHA,Gorkha,Gorkha
4,Gandaki,37,Manang,MANANG,Manang,Manang
4,Gandaki,38,Mustang,MUSTANG,Mustang,Mustang
4,Gandaki,39,Myagdi,MYAGDI,Myagdi,Myagdi
4,Gandaki,40,Kaski,KASKI,Kaski,Kaski
4,Gandaki,41,Lamjung,LAMJUNG,Lamjung,Lamjung
4,Gandaki,42,Tanahu,TANAHU,Tanahu,Tanahu
